Ergebnisart;Datum;Satzart;Schlüsselnummer;Name;Wahllokal;A.Wahlberechtigte;B.Wähler;E.Ungültige.Zweitstimmen;F.Gültige.Zweitstimmen;F01.CDU;F02.AfD;F03.Die Linke;F04.SPD;F05.FDP;F06.GRÜNE;F07.FREIE WÄHLER;F08.dieBasis;F09.Tierschutzpartei;F10.Gartenpartei;F11.Die PARTEI;F12.TIERSCHUTZALLIANZ;F15.BSW;F19.PdF;F20.Volt;Gewählt.im.Wahlkreis
V;06.09.2026;WKR;1;Salzwedel;;33541;26217;268;25949;4460;10907;2766;2619;692;2084;262;106;215;100;104;102;1427;42;63;Lansmann, Simon (AfD)
V;06.09.2026;WKR;2;Gardelegen-Klötze;;42190;33354;340;33014;6059;13863;2940;3629;941;2385;321;45;325;168;176;188;1807;65;102;Koch, Sebastian (AfD)
V;06.09.2026;WKR;3;Havelberg-Osterburg;;34409;27301;290;27011;4620;12592;2336;2552;660;1758;381;57;212;117;49;82;1490;38;67;Killinger, Sebastian (AfD)
V;06.09.2026;WKR;4;Stendal;;35900;27316;298;27018;4614;11456;2498;2669;746;2263;263;42;291;126;65;130;1725;40;90;Büttner, Matthias (AfD)
V;06.09.2026;WKR;5;Genthin;;38787;30778;332;30446;5356;14310;2431;2767;683;1942;346;25;345;158;67;146;1676;61;133;Siegmund, Ulrich (AfD)
V;07.09.2026;WKR;6;Burg;;41945;33545;383;33162;5877;14708;2593;2982;868;2577;798;40;380;165;83;178;1714;68;131;Scharfenort, Jan (AfD)
V;06.09.2026;WKR;7;Haldensleben;;41689;32801;322;32479;6010;14925;2544;3038;724;1984;343;34;397;206;92;176;1881;46;79;Lassowski, Dirk (AfD)
V;07.09.2026;WKR;8;Wolmirstedt;;43072;35671;323;35348;6064;16126;2704;3186;997;2758;368;29;391;236;75;190;2003;66;155;Zietmann, Felix (AfD)
V;07.09.2026;WKR;9;Oschersleben-Wanzleben;;40742;32037;318;31719;5602;15524;2351;2693;780;1742;457;36;324;245;78;163;1621;51;52;Schmirander, Thomas (AfD)
V;06.09.2026;WKR;10;Magdeburg I;;38357;28618;278;28340;4014;11009;3020;3105;716;3448;150;41;228;526;84;327;1495;62;115;Kirchner, Oliver (AfD)
V;06.09.2026;WKR;11;Magdeburg II;;47398;39174;236;38938;5922;9177;4894;5341;1219;8884;220;54;230;345;121;356;1877;56;242;Groener, Mustafa (Die Linke)
V;06.09.2026;WKR;12;Magdeburg III;;42943;33553;239;33314;5319;11649;3448;3933;982;4600;203;51;396;480;94;205;1738;55;161;Mertens, Christian (AfD)
V;06.09.2026;WKR;13;Magdeburg IV;;47481;38218;289;37929;5966;13326;3951;4349;1099;5436;197;45;396;570;120;241;1994;60;179;Kumpf, Ronny (AfD)
V;06.09.2026;WKR;14;Halberstadt;;38748;28895;327;28568;5081;12687;2529;2717;510;2024;516;38;275;137;49;159;1741;39;66;Hecht, Christian Ulrich (AfD)
V;06.09.2026;WKR;15;Blankenburg;;39040;31175;332;30843;5306;13227;2270;3869;595;2304;586;59;372;126;114;194;1681;45;95;Friese, Armin (AfD)
V;06.09.2026;WKR;16;Wernigerode;;40093;31192;282;30910;5583;12198;2376;4333;657;2657;473;42;338;129;83;171;1742;45;83;Bischoff, Frank-Ronald (AfD)
V;06.09.2026;WKR;17;Quedlinburg;;47762;36978;477;36501;6483;16610;2835;3183;850;2956;555;88;412;148;138;220;1900;58;65;Möhring, Dennis (AfD)
V;07.09.2026;WKR;18;Aschersleben;;36628;27572;305;27267;4708;13206;2031;2048;567;1475;237;37;315;129;58;179;2019;149;109;Rausch, Daniel (AfD)
V;07.09.2026;WKR;19;Staßfurt;;33885;25486;253;25233;4256;13644;1861;1634;528;992;233;18;292;143;43;146;1339;37;67;Büttner, Matthias (AfD)
V;07.09.2026;WKR;20;Schönebeck;;43251;33298;355;32943;5736;15548;2680;2883;896;2063;250;60;454;182;61;225;1746;52;107;Rausch, Tobias (AfD)
V;07.09.2026;WKR;21;Bernburg;;44030;33882;346;33536;5588;16841;2670;2392;1251;1792;265;45;433;157;72;195;1660;52;123;Dr. Moldenhauer, Jan (AfD)
V;06.09.2026;WKR;22;Köthen;;47076;37150;397;36753;6423;18387;2997;2424;1031;2067;421;37;433;188;74;224;1878;60;109;Olenicak, Volker (AfD)
V;06.09.2026;WKR;23;Zerbst;;37644;29950;331;29619;5538;13888;2237;2420;883;1696;439;35;315;158;74;141;1646;47;102;Rau, Phillipp-Anders (AfD)
V;06.09.2026;WKR;24;Wittenberg;;43624;33796;312;33484;7164;13969;2838;2761;723;2693;890;53;360;149;96;186;1451;66;85;Best, Andreas (AfD)
V;06.09.2026;WKR;25;Jessen;;39926;31742;320;31422;6268;15376;2297;2189;637;1593;725;42;327;140;57;155;1477;50;89;Lieschke, Matthias (AfD)
V;06.09.2026;WKR;26;Dessau-Roßlau;;39422;30313;285;30028;5648;11449;2614;3115;991;3098;249;24;350;128;70;164;1988;38;102;Ratzmann, Burkhardt (AfD)
V;06.09.2026;WKR;27;Dessau-Roßlau-Wittenberg;;37374;29411;332;29079;5197;12836;2261;2525;754;2560;460;41;361;159;92;159;1537;34;103;Koppehel, Nadine (AfD)
V;06.09.2026;WKR;28;Bitterfeld-Wolfen;;48822;37393;398;36995;6453;18073;2813;2868;883;2212;755;33;473;158;100;209;1798;59;108;Roi, Daniel (AfD)
V;07.09.2026;WKR;29;Saalekreis;;42969;34941;310;34631;6225;16994;2258;2694;1004;2348;325;39;329;116;67;185;1845;121;81;Schröder, Florian (AfD)
V;06.09.2026;WKR;30;Eisleben;;45404;33468;335;33133;5640;17677;2531;2340;778;1250;247;29;314;142;72;162;1710;171;70;Kretschmann, Reiner (AfD)
V;06.09.2026;WKR;31;Sangerhausen;;42413;32273;335;31938;6002;15767;2486;2461;735;1444;263;48;340;151;73;153;1688;228;99;Gehlmann, Andreas (AfD)
V;06.09.2026;WKR;32;Querfurt;;44356;34437;359;34078;6154;17961;2240;2239;854;1435;347;55;368;151;65;160;1788;189;72;Dr. Tillschneider, Hans-Thomas (AfD)
V;06.09.2026;WKR;33;Merseburg;;38482;28313;242;28071;5339;13764;2084;2120;663;1714;201;39;320;113;93;141;1348;46;86;Wald, Daniel (AfD)
V;06.09.2026;WKR;34;Bad Dürrenberg-Saalekreis;;44210;35021;267;34754;6449;16986;2251;2582;948;2424;340;43;395;134;85;186;1782;52;97;Köhler, Gordon (AfD)
V;06.09.2026;WKR;35;Halle I;;36710;25139;289;24850;3925;10356;2488;2607;631;2488;189;32;292;122;58;137;1415;37;73;Raue, Alexander (AfD)
